,Education,EducationField,Gender,MaritalStatus,Age,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Country,Attrition,BusinessTravel,Department,JobLevel,JobRole,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction
775,Bachelor,Medical,Female,Married,47,0,2,11,3.0,Tennessee,No,Travel_Rarely,Sales,2,Sales Executive,4591,Yes,17,4,High,High,High,High
776,Bachelor,Medical,Male,Married,24,1,1,3,0.0,Suiza,No,Travel_Frequently,Sales,1,Sales Representative,2400,No,13,3,Very High,High,,High
777,Bachelor,Life Sciences,Female,Single,21,0,0,1,1.0,Wisconsin,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,1416,No,13,6,High,Medium,Low,Low
778,,Medical,Female,Married,32,0,5,8,1.0,Países Bajos,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2370,No,13,4,High,High,Medium,High
779,Master,Life Sciences,Female,Single,38,0,7,12,4.0,Virginia Occidental,No,Travel_Rarely,Sales,2,Sales Executive,8686,No,22,2,Low,Medium,,High
780,Bachelor,Medical,Male,Married,37,2,4,10,1.0,Tennessee,No,Travel_Rarely,Research & Development,2,Research Scientist,4285,No,17,2,Low,High,Very High,Low
781,Bachelor,Life Sciences,Male,Married,42,12,1,24,2.0,Bélgica,No,Travel_Frequently,Research & Development,3,Healthcare Representative,10124,Yes,14,3,Very High,High,Very High,High
782,Bachelor,Technical Degree,Male,Married,45,1,2,10,4.0,Colorado,No,Travel_Rarely,Research & Development,3,Manufacturing Director,9380,Yes,18,4,Medium,High,Very High,Very High
783,Below College,Marketing,Male,Married,48,0,1,12,3.0,Dinamarca,No,Travel_Rarely,Sales,2,Sales Executive,8120,No,12,3,Medium,Very High,Medium,Very High
784,Below College,Life Sciences,Female,Single,33,2,0,3,0.0,Kentucky,No,Non-Travel,Sales,1,Sales Representative,2342,No,19,2,Medium,Medium,Very High,Very High
785,Doctor,Technical Degree,Female,Married,29,1,0,6,5.0,Virginia,Yes,Travel_Rarely,Research & Development,1,Research Scientist,2546,No,16,2,High,Medium,Medium,Medium
786,Below College,Medical,Male,Divorced,33,0,2,8,7.0,Suecia,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,3408,No,13,2,Low,Low,,Low
787,Below College,Medical,Male,Married,27,0,2,6,9.0,Kentucky,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3468,No,12,3,Low,High,Medium,Very High
788,Below College,Medical,Male,Single,44,0,2,16,5.0,Suiza,No,Travel_Frequently,Research & Development,3,Manufacturing Director,10209,Yes,18,2,Medium,High,High,Medium
789,Below College,Life Sciences,Male,Single,30,1,5,12,1.0,Reino Unido,No,Non-Travel,Research & Development,3,Manufacturing Director,8474,No,22,2,High,Medium,High,High
790,Master,Human Resources,Female,Married,59,1,1,30,9.0,Luisiana,No,Non-Travel,Human Resources,5,Manager,18844,No,21,3,High,Medium,Very High,Very High
791,Master,Life Sciences,Male,Single,52,1,0,18,7.0,Croacia,No,Travel_Rarely,Research & Development,3,Healthcare Representative,10445,No,19,4,Medium,High,Medium,Very High
792,,Marketing,Male,Married,33,0,2,8,0.0,Virginia,No,Non-Travel,Sales,2,Sales Executive,6146,No,13,2,High,High,,Low
793,College,Medical,Male,Single,36,3,2,13,4.0,Polonia,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2088,No,12,3,Very High,High,Medium,High
794,Master,Medical,Female,Single,32,0,2,10,7.0,Suiza,No,Travel_Rarely,Research & Development,2,Research Scientist,5055,No,16,0,Low,Very High,Very High,High
795,College,Life Sciences,Female,Married,38,1,3,10,1.0,España,No,Travel_Rarely,Sales,2,Sales Executive,5343,No,11,1,Low,High,Very High,High
796,Below College,Medical,Male,Married,23,0,2,5,1.0,Minnesota,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2500,No,14,2,Medium,High,Low,Very High
797,Bachelor,Medical,Male,Single,44,1,1,10,9.0,Oklahoma,No,,Research & Development,2,Healthcare Representative,5933,No,12,2,Very High,High,,Very High
798,College,Life Sciences,Male,Married,32,1,2,10,1.0,Reino Unido,No,Travel_Frequently,Sales,2,Sales Executive,6524,No,14,3,Medium,High,Medium,Very High
799,College,Medical,Male,Divorced,44,1,1,6,1.0,Portugal,Yes,Travel_Frequently,Research & Development,1,Research Scientist,2342,Yes,12,2,High,High,Medium,High
800,Bachelor,Human Resources,Male,Married,30,0,4,12,0.0,Misuri,No,Travel_Rarely,Human Resources,2,Human Resources,6347,Yes,19,2,High,High,Very High,Very High
801,Bachelor,Medical,Male,Single,55,2,13,37,0.0,Italia,No,Travel_Rarely,Research & Development,5,Manager,19045,Yes,14,2,Very High,High,Low,High
802,Bachelor,Life Sciences,Male,Single,40,0,2,10,3.0,California,Yes,,Research & Development,1,Laboratory Technician,2166,Yes,14,3,Low,High,Low,Medium
803,College,Technical Degree,Male,Married,34,5,2,12,0.0,Dinamarca,No,Travel_Rarely,Sales,1,Sales Representative,2308,Yes,25,4,Medium,High,High,
804,Bachelor,Medical,Male,Married,29,0,0,10,2.0,Polonia,No,Travel_Rarely,Sales,2,Sales Executive,6644,No,19,2,Low,Medium,Medium,Medium
805,Below College,Life Sciences,Female,Married,35,0,3,10,1.0,República Checa,No,Travel_Rarely,Research & Development,2,Healthcare Representative,4014,Yes,25,2,Very High,High,Very High,Very High
806,Bachelor,Medical,Female,Single,27,0,0,7,1.0,Idaho,No,Travel_Rarely,Research & Development,1,Research Scientist,2279,No,16,2,Very High,High,Medium,Very High
807,Master,Medical,Male,Married,36,1,10,16,4.0,Hungría,No,Travel_Frequently,Sales,3,Sales Executive,9699,No,11,2,Low,Medium,Very High,Low
808,College,Medical,Female,Single,42,3,8,12,1.0,Dinamarca,No,Travel_Frequently,Research & Development,1,Laboratory Technician,3673,No,13,3,Low,High,Very High,High
809,Bachelor,Medical,Male,Married,34,1,0,6,2.0,Bélgica,No,Travel_Rarely,Research & Development,2,Laboratory Technician,4404,No,12,3,Medium,Very High,High,Low
810,College,Life Sciences,Female,Divorced,45,0,3,9,4.0,España,No,Travel_Rarely,Sales,2,Sales Executive,5006,Yes,11,3,High,High,Low,Low
811,Bachelor,Life Sciences,Male,Divorced,24,0,0,1,1.0,Alemania,No,Non-Travel,Research & Development,1,Laboratory Technician,2694,No,11,4,High,Medium,,High
812,Master,Human Resources,Male,Divorced,41,0,1,23,3.0,España,No,Travel_Rarely,Human Resources,5,Manager,19141,No,15,2,Medium,Medium,Very High,Medium
813,,Medical,Female,Married,59,0,0,12,4.0,Maine,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2670,Yes,20,3,High,Very High,,Low
814,Below College,Life Sciences,Male,Married,55,0,0,23,3.0,Noruega,No,Travel_Frequently,Research & Development,3,Manufacturing Director,10976,No,18,4,Very High,High,Medium,Medium
815,Bachelor,Life Sciences,Female,Married,60,11,2,33,5.0,Alemania,No,Travel_Rarely,Research & Development,5,Manager,19566,No,11,5,Low,High,Low,Very High
816,,Medical,Female,Single,19,0,0,1,1.0,Wyoming,No,Travel_Rarely,Research & Development,1,Laboratory Technician,1483,No,14,3,Medium,High,,Very High
817,College,Life Sciences,Female,Single,32,0,2,10,4.0,Alemania,No,Travel_Frequently,Research & Development,2,Research Scientist,4998,Yes,14,2,Very High,High,High,Very High
818,,Life Sciences,Male,Single,39,0,1,18,7.0,Arkansas,No,Travel_Rarely,Research & Development,2,Research Scientist,4108,No,13,2,Low,High,Very High,Low
819,Master,Medical,Female,Single,35,0,1,10,3.0,Hungría,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6142,Yes,16,4,Low,High,High,High
820,,Life Sciences,Female,Single,40,0,0,22,4.0,Suiza,Yes,Non-Travel,Sales,4,Sales Executive,13194,Yes,16,2,Medium,Very High,Medium,Very High
821,Below College,Life Sciences,Male,Married,35,0,0,1,1.0,Nueva York,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2269,No,19,2,Very High,Very High,Very High,Very High
822,College,Life Sciences,Male,Married,46,0,1,25,5.0,Massachusetts,No,Travel_Rarely,Research & Development,5,Research Director,19081,No,11,2,Very High,High,Medium,Low
823,Bachelor,Life Sciences,Male,Married,42,2,0,10,1.0,Alabama,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4434,No,13,3,Medium,High,Medium,Very High
824,College,Life Sciences,Female,Married,32,2,3,12,3.0,Kentucky,No,Travel_Rarely,Research & Development,2,Research Scientist,5878,No,12,2,Very High,Medium,Medium,Low
825,Bachelor,Life Sciences,Female,Single,39,2,0,9,4.0,Vermont,No,,Research & Development,3,Manufacturing Director,8376,No,18,3,Medium,High,Medium,Very High
826,Master,Life Sciences,Male,Married,50,11,4,28,0.0,Carolina del Sur,No,Travel_Rarely,Research & Development,4,Manager,17046,No,15,2,Medium,Medium,High,Medium
827,Below College,Life Sciences,Male,Single,31,0,2,10,4.0,Minnesota,No,,Sales,2,Sales Executive,6582,Yes,13,2,Medium,High,Very High,High
828,Below College,Medical,Female,Married,27,0,7,9,1.0,Misuri,No,Travel_Rarely,Sales,2,Sales Representative,3540,No,21,5,Medium,Medium,High,Very High
829,Master,Technical Degree,Female,Married,36,1,4,10,1.0,Finlandia,No,Travel_Rarely,Sales,2,Sales Executive,5673,Yes,13,4,Medium,Medium,High,Low
830,,Technical Degree,Male,Single,35,3,2,9,0.0,Utah,Yes,Travel_Rarely,Sales,3,Sales Executive,9582,Yes,22,2,Very High,High,Low,Low
831,,Medical,Female,Married,38,0,0,7,7.0,Alabama,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3306,No,19,5,Very High,High,High,Very High
832,Bachelor,Technical Degree,Male,Single,50,0,0,20,6.0,Bélgica,No,Travel_Rarely,Research & Development,3,Healthcare Representative,10496,No,15,2,Very High,Medium,Very High,Very High
833,Bachelor,Medical,Female,Single,43,1,1,18,4.0,Florida,No,Travel_Frequently,Research & Development,1,Research Scientist,4739,No,12,2,Medium,Very High,High,Very High
834,Bachelor,Medical,Female,Single,30,0,1,9,9.0,Alemania,No,Travel_Rarely,Research & Development,3,Manufacturing Director,9667,No,14,3,Low,High,High,Medium
835,Bachelor,Marketing,Female,Divorced,31,2,0,2,1.0,Hungría,No,Travel_Frequently,Sales,1,Sales Representative,2789,No,11,5,Very High,High,Medium,High
836,Bachelor,Technical Degree,Male,Married,31,0,1,6,1.0,Arizona,No,Travel_Rarely,Sales,2,Sales Executive,8346,No,19,3,Low,High,,High
837,Master,Medical,Male,Divorced,46,0,2,24,7.0,Hawaii,No,Travel_Rarely,Research & Development,5,Research Director,19328,Yes,17,3,High,High,Very High,High
838,,Human Resources,Male,Married,31,0,0,9,3.0,España,No,Travel_Rarely,Human Resources,2,Human Resources,6410,No,12,1,Low,Medium,Low,Very High
839,College,Life Sciences,Female,Married,33,1,1,13,7.0,Alabama,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2707,No,20,3,Low,High,Low,Low
840,Master,Medical,Female,Single,31,0,10,11,,Vermont,No,Travel_Rarely,Research & Development,3,Manufacturing Director,7143,Yes,14,2,High,High,,High
841,Master,Technical Degree,Female,Married,36,0,1,10,3.0,Nueva York,No,Travel_Rarely,Research & Development,3,Healthcare Representative,7094,No,12,0,Very High,High,High,Low
842,,Human Resources,Female,Married,39,2,3,12,9.0,Pensilvania,No,Travel_Rarely,Human Resources,2,Human Resources,6389,No,15,3,High,Very High,Medium,High
843,Master,Other,Female,Married,49,0,0,27,3.0,Wyoming,No,Travel_Rarely,Research & Development,4,Research Director,16413,No,16,2,Low,High,Medium,Medium
844,Bachelor,Marketing,Female,Married,46,1,2,15,2.0,Suecia,No,Travel_Rarely,Sales,3,Sales Executive,9071,Yes,19,3,High,Medium,Very High,High
845,Master,Life Sciences,Male,Married,37,9,4,17,5.0,Luisiana,Yes,Travel_Rarely,Sales,3,Sales Executive,10609,No,11,2,Low,Medium,High,High
846,Master,Marketing,Male,Single,34,3,0,10,0.0,Alemania,No,,Sales,2,Sales Executive,4568,No,20,2,Medium,High,High,High
847,,Medical,Male,Married,28,0,0,1,1.0,Italia,No,Travel_Rarely,Sales,1,Sales Representative,1052,No,22,5,Very High,High,Medium,Medium
848,Bachelor,Life Sciences,Male,Divorced,31,0,1,10,1.0,Maryland,No,Travel_Rarely,Research & Development,2,Laboratory Technician,4197,No,11,2,Medium,High,High,Low
849,Bachelor,Life Sciences,Male,Divorced,45,0,0,25,2.0,Washington,No,Travel_Rarely,Research & Development,3,Research Scientist,9724,No,17,2,Medium,High,Low,High
850,College,Life Sciences,Female,Married,51,0,3,18,4.0,Finlandia,No,Travel_Rarely,Sales,2,Sales Executive,4936,No,11,2,High,High,Very High,High
851,Bachelor,Life Sciences,Male,Married,47,2,6,25,7.0,Utah,Yes,Travel_Frequently,Sales,4,Sales Executive,12936,No,11,3,High,Low,High,High
852,Bachelor,Medical,Female,Divorced,29,0,2,5,6.0,Pensilvania,Yes,Travel_Rarely,Sales,1,Sales Representative,2800,Yes,19,3,Medium,Medium,,High
853,,Life Sciences,Female,Married,54,0,3,9,3.0,Croacia,No,Travel_Rarely,Research & Development,2,Research Scientist,2897,No,11,6,Low,High,High,High
854,Master,Marketing,Female,Married,35,2,2,5,0.0,Alemania,Yes,Travel_Frequently,Sales,2,Sales Executive,4614,Yes,18,0,Very High,High,High,High
855,Master,Life Sciences,Female,Married,47,1,0,27,3.0,Kansas,No,Travel_Rarely,Human Resources,5,Manager,19658,No,11,2,Very High,High,High,High
856,Bachelor,Marketing,Male,Married,45,0,5,10,1.0,Alabama,No,Non-Travel,Sales,2,Sales Executive,4385,No,15,2,Low,Medium,,Low
857,Bachelor,Life Sciences,Male,Single,35,6,1,10,1.0,Portugal,Yes,Travel_Rarely,Sales,2,Sales Executive,5813,Yes,18,2,High,High,Very High,Very High
858,Master,Medical,Female,Married,58,2,0,31,7.0,Nevada,Yes,Travel_Rarely,Research & Development,3,Manufacturing Director,10008,Yes,14,0,High,Medium,Low,Very High
859,Doctor,Medical,Female,Divorced,33,0,2,10,4.0,Nueva Jersey,No,,Research & Development,4,Research Director,16184,No,19,2,Low,Very High,High,High
860,Below College,Human Resources,Male,Single,36,0,5,10,1.0,Nebraska,No,Travel_Frequently,Human Resources,2,Human Resources,3886,No,21,2,Medium,Medium,Very High,Very High
861,,Life Sciences,Male,Single,48,0,0,27,7.0,Florida,No,Travel_Rarely,Research & Development,3,Healthcare Representative,10999,No,14,3,High,Medium,,Medium
862,College,Medical,Male,Single,41,1,8,19,1.0,España,No,Non-Travel,Sales,2,Sales Executive,6151,No,13,4,High,Low,Medium,
863,,Medical,Female,Married,29,0,0,11,1.0,Noruega,No,Travel_Frequently,Sales,3,Sales Executive,7918,No,14,5,Medium,High,,Very High
864,College,Life Sciences,Female,Married,40,1,2,5,1.0,Misisipi,No,Travel_Rarely,Sales,2,Sales Executive,4639,No,15,2,Very High,High,,High
865,Master,Medical,Female,Single,40,0,9,20,9.0,Rumania,No,Travel_Frequently,Research & Development,3,Research Director,13499,No,17,3,Medium,High,High,High
866,Master,Life Sciences,Female,Divorced,54,1,1,33,7.0,España,No,,Research & Development,3,Manufacturing Director,10502,No,17,2,Very High,High,High,Low
867,Master,Medical,Male,Divorced,31,0,1,9,2.0,Rumania,Yes,Travel_Rarely,Sales,2,Sales Executive,4233,No,17,2,Medium,High,Low,High
868,Bachelor,Other,Male,Single,34,0,3,6,1.0,República Checa,No,Travel_Rarely,Sales,2,Sales Executive,6274,No,22,5,Very High,High,,High
869,Master,Marketing,Male,Married,31,0,0,10,2.0,Hungría,Yes,Travel_Rarely,Sales,3,Sales Executive,8161,No,13,2,Low,High,,Low
870,Bachelor,Marketing,Male,Divorced,29,2,0,2,1.0,Reino Unido,No,Travel_Rarely,Sales,1,Sales Representative,2297,No,14,2,Very High,High,Medium,Very High
871,,Life Sciences,Female,Married,28,2,3,10,0.0,Dakota del Sur,No,Non-Travel,Research & Development,2,Laboratory Technician,6674,No,11,6,High,Low,Very High,Low
872,Below College,Life Sciences,Female,Married,28,0,0,1,1.0,Hungría,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,2515,Yes,11,4,High,High,,Very High
873,Master,Medical,Male,Married,31,3,3,10,1.0,Dakota del Norte,Yes,Travel_Rarely,Research & Development,2,Manufacturing Director,6179,Yes,15,3,Very High,High,High,Very High
874,Bachelor,Medical,Female,Single,45,0,0,22,3.0,Utah,No,Travel_Frequently,Research & Development,5,Manager,18061,No,22,4,Medium,High,Medium,
875,Bachelor,Medical,Male,Single,34,2,6,14,0.0,Austria,No,Travel_Frequently,Research & Development,2,Healthcare Representative,5343,No,20,3,Very High,Medium,Low,High
876,College,Medical,Male,Married,59,0,0,7,8.0,Hungría,No,Travel_Rarely,Human Resources,1,Human Resources,2267,No,17,2,Medium,High,High,Very High
877,,Life Sciences,Female,Married,32,0,0,5,6.0,Delaware,No,Non-Travel,Research & Development,1,Laboratory Technician,2332,No,20,3,High,Medium,Medium,High
878,Master,Other,Female,Married,48,2,4,10,8.0,Alabama,No,,Research & Development,1,Research Scientist,2367,No,12,3,High,High,Low,Very High
879,Bachelor,Life Sciences,Female,Single,19,0,1,1,1.0,Rumania,No,Travel_Rarely,Research & Development,1,Research Scientist,2994,Yes,12,2,Medium,Very High,Very High,Very High
880,Master,Other,Male,Married,44,0,0,9,,Nueva York,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6465,Yes,13,5,Very High,High,Very High,Very High
881,,Marketing,Male,Divorced,45,0,0,18,4.0,Wyoming,No,Travel_Rarely,Sales,3,Sales Executive,10761,Yes,12,2,Very High,High,Low,High
882,College,Medical,Male,Divorced,40,1,3,22,0.0,Luisiana,No,Travel_Rarely,Research & Development,5,Research Director,19436,No,19,5,Low,High,High,Very High
883,Bachelor,Life Sciences,Female,Divorced,37,7,0,18,1.0,Austria,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3034,No,12,2,Very High,High,Low,High
884,,Medical,Male,Divorced,42,0,1,7,8.0,Dinamarca,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2766,No,22,6,Medium,High,,Medium
885,Master,Life Sciences,Male,Married,38,2,5,10,2.0,Portugal,No,,Research & Development,2,Manufacturing Director,5321,No,11,1,Low,Medium,High,Very High
886,Bachelor,Technical Degree,Female,Single,30,0,2,8,5.0,Dakota del Norte,Yes,,Research & Development,1,Research Scientist,2657,Yes,11,5,Very High,High,Low,High
887,Master,Life Sciences,Female,Married,35,1,0,4,1.0,Dakota del Norte,No,Travel_Rarely,Research & Development,1,Research Scientist,2977,No,12,5,High,Low,Very High,Very High
888,College,Marketing,Male,Married,42,0,0,21,6.0,Massachusetts,No,Travel_Rarely,Sales,5,Manager,18303,No,13,3,Very High,High,High,Medium
889,Doctor,Life Sciences,Male,Married,47,1,1,21,4.0,Alemania,No,Travel_Rarely,Research & Development,5,Research Director,18300,No,11,2,Very High,High,High,Medium
890,Master,Technical Degree,Male,Divorced,45,3,5,10,1.0,Alemania,No,Travel_Rarely,Research & Development,3,Healthcare Representative,7441,No,12,4,Low,High,Medium,Low
891,Bachelor,Life Sciences,Male,Single,29,1,5,6,1.0,Nueva Jersey,No,Travel_Rarely,Research & Development,1,Research Scientist,2340,No,19,1,High,High,Very High,Low
892,Master,Other,Male,Married,32,1,1,6,8.0,Bélgica,Yes,Non-Travel,Sales,2,Sales Executive,4707,No,12,2,Very High,Very High,,Very High
893,Master,Life Sciences,Female,Single,34,0,2,10,2.0,Alabama,No,Travel_Rarely,Research & Development,1,Research Scientist,3280,No,16,2,Medium,Very High,Very High,High
894,Bachelor,Marketing,Male,Single,34,2,0,14,1.0,Bélgica,No,,Sales,3,Sales Executive,9888,No,21,3,Low,High,Very High,Low
895,,Technical Degree,Male,Single,28,0,0,2,1.0,España,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,3441,Yes,13,3,High,High,,High
896,Doctor,Marketing,Male,Divorced,30,4,5,10,7.0,Georgia,No,Travel_Rarely,Sales,2,Sales Executive,5304,No,23,2,High,High,Very High,Very High
897,Master,Medical,Male,Married,29,0,0,4,9.0,Dinamarca,Yes,Travel_Rarely,Research & Development,1,Research Scientist,4787,Yes,14,3,Low,High,Very High,Medium
898,Bachelor,Marketing,Male,Single,33,0,1,9,3.0,Dakota del Norte,No,Travel_Frequently,Sales,2,Sales Executive,4682,No,14,6,Medium,Medium,Very High,High
899,Below College,Medical,Male,Married,33,5,6,15,7.0,Misuri,Yes,Travel_Rarely,Research & Development,3,Manager,13610,Yes,12,2,Medium,High,High,Very High
900,Below College,Medical,Male,Single,26,0,0,5,0.0,Connecticut,No,,Research & Development,1,Research Scientist,3904,No,12,2,Low,Medium,Very High,Very High
901,Doctor,Medical,Female,Single,36,0,0,7,4.0,Maine,No,Non-Travel,Sales,2,Sales Executive,6653,No,15,6,Very High,High,Very High,Medium
902,Below College,Medical,Male,Married,25,0,0,7,3.0,Bélgica,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3669,No,11,6,Very High,High,Very High,High
903,Master,Life Sciences,Male,Single,32,0,0,8,8.0,Minnesota,No,Travel_Rarely,Research & Development,2,Manufacturing Director,9679,No,24,1,Very High,Medium,Very High,Medium
904,,Life Sciences,Male,Divorced,49,0,4,7,1.0,Francia,No,Non-Travel,Research & Development,2,Manufacturing Director,6804,Yes,15,0,Very High,High,Very High,Low
905,Master,Life Sciences,Male,Divorced,36,1,7,7,1.0,Maryland,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2741,No,14,4,High,Low,High,High
906,,Life Sciences,Male,Married,28,0,1,5,1.0,Maine,No,Travel_Rarely,Sales,2,Sales Executive,4724,No,11,0,High,Medium,Low,High
907,Bachelor,Medical,Male,Married,42,0,0,4,4.0,Carolina del Sur,No,Travel_Rarely,Research & Development,1,Laboratory Technician,4841,No,14,3,High,Medium,Medium,Medium
908,,Life Sciences,Female,Single,31,0,0,1,1.0,Bélgica,Yes,Travel_Rarely,Research & Development,1,Research Scientist,1261,No,12,3,Low,Medium,Medium,High
909,Bachelor,Other,Male,Married,45,1,6,25,0.0,Austria,No,Travel_Rarely,Research & Development,5,Manager,19202,No,11,2,High,Very High,Very High,High
910,,Life Sciences,Female,Married,39,3,5,21,1.0,Francia,No,Travel_Rarely,Research & Development,4,Manufacturing Director,12742,No,16,3,Very High,Medium,Very High,High
911,Below College,Medical,Female,Married,40,3,5,21,1.0,Dakota del Norte,No,Travel_Rarely,Research & Development,5,Manager,19033,No,14,2,Very High,High,High,Medium
912,Master,Marketing,Male,Single,42,0,5,9,7.0,República Checa,No,Travel_Rarely,Sales,2,Sales Executive,5155,No,13,3,Medium,High,Low,Very High
913,Below College,Life Sciences,Male,Single,27,0,0,8,3.0,Dinamarca,No,Travel_Frequently,Sales,2,Sales Executive,5071,No,20,3,Very High,Low,Very High,Medium
914,,Other,Male,Divorced,34,0,0,10,5.0,España,No,Travel_Frequently,Research & Development,1,Research Scientist,2996,No,14,2,Very High,High,Low,High
915,Master,Medical,Male,Married,55,5,0,17,3.0,Luisiana,No,Travel_Frequently,Research & Development,2,Healthcare Representative,6385,Yes,14,3,High,High,Medium,Very High
916,Bachelor,Medical,Male,Married,32,6,3,9,1.0,Italia,No,,Research & Development,2,Manufacturing Director,6162,Yes,22,3,Low,High,Very High,
917,Below College,Life Sciences,Male,Married,30,1,0,10,1.0,Luisiana,No,Travel_Rarely,Research & Development,2,Laboratory Technician,5126,Yes,12,1,Very High,Medium,Very High,High
918,Master,Marketing,Male,Divorced,33,0,2,6,0.0,Virginia,No,Travel_Rarely,Sales,2,Sales Executive,7104,No,12,3,High,High,High,Very High
919,,Life Sciences,Male,Single,51,0,0,18,2.0,Ohio,Yes,Travel_Frequently,Research & Development,3,Manufacturing Director,10650,No,15,2,Low,Low,Very High,Very High
920,Below College,Life Sciences,Female,Single,59,1,1,20,7.0,Minnesota,No,Travel_Frequently,Sales,2,Sales Executive,5473,No,11,2,Low,Medium,High,Very High
921,Bachelor,Marketing,Female,Single,34,0,1,4,0.0,Portugal,No,Travel_Rarely,Sales,2,Sales Executive,4538,Yes,12,3,High,High,Low,Very High
922,Bachelor,Medical,Male,Married,50,0,3,30,5.0,Nueva Jersey,No,Travel_Rarely,Research & Development,4,Research Director,17639,No,16,3,High,High,High,Very High
923,Master,Life Sciences,Male,Divorced,30,0,3,10,9.0,Nueva Jersey,No,Travel_Frequently,Research & Development,1,Research Scientist,3761,No,12,3,Medium,Medium,,Medium
924,,Life Sciences,Male,Single,37,0,0,18,2.0,New Hampshire,No,,Research & Development,2,Manufacturing Director,4197,Yes,12,2,High,High,Medium,Very High
925,Bachelor,Medical,Female,Married,31,2,7,13,4.0,Croacia,No,Non-Travel,Research & Development,3,Research Director,11031,No,20,2,High,High,High,High
926,College,Other,Male,Single,35,0,1,9,4.0,Polonia,No,,Research & Development,2,Laboratory Technician,3681,No,14,3,Low,Medium,Very High,Very High
927,College,Life Sciences,Male,Married,35,0,1,8,3.0,Luisiana,Yes,Travel_Rarely,Research & Development,2,Manufacturing Director,5916,Yes,13,1,Medium,Medium,High,Low
928,College,Life Sciences,Male,Divorced,31,3,8,13,1.0,Alabama,No,Travel_Rarely,Sales,3,Sales Executive,10793,No,18,5,Low,High,Very High,Low
929,Bachelor,Medical,Female,Married,38,0,0,18,3.0,Virginia,No,Travel_Rarely,Research & Development,2,Healthcare Representative,9824,No,19,4,High,High,High,High
930,Master,Life Sciences,Female,Married,35,0,3,10,1.0,Hungría,No,Travel_Rarely,Sales,2,Sales Executive,5204,Yes,11,2,High,High,Very High,Very High
931,Bachelor,Medical,Male,Single,33,0,0,7,4.0,Luisiana,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2496,No,11,3,High,High,Very High,Very High
932,Bachelor,Medical,Male,Married,24,0,1,5,1.0,Montana,No,Travel_Rarely,Research & Development,1,Research Scientist,4401,No,16,1,High,Very High,High,Very High
933,Bachelor,Marketing,Male,Single,32,0,3,10,1.0,Nuevo México,No,Travel_Rarely,Sales,2,Sales Executive,5396,No,12,2,Very High,High,Very High,Very High
934,Bachelor,Life Sciences,Female,Divorced,41,0,2,12,3.0,Croacia,No,,Research & Development,2,Research Scientist,5467,Yes,14,4,Very High,High,Very High,Low
935,College,Life Sciences,Female,Divorced,36,0,1,18,7.0,Suecia,No,Travel_Frequently,Research & Development,2,Manufacturing Director,5131,No,13,3,Very High,High,Medium,Medium
936,College,Medical,Male,Married,34,0,1,5,1.0,Misuri,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4325,No,15,2,Low,High,Medium,High
937,,Medical,Male,Married,26,1,0,6,1.0,Wisconsin,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3955,No,16,2,Low,Medium,Low,Low
938,College,Technical Degree,Female,Married,32,11,1,13,1.0,Arkansas,No,Travel_Rarely,Sales,2,Sales Executive,5228,Yes,11,2,High,Medium,Medium,Very High
939,Below College,Life Sciences,Male,Married,36,0,7,17,0.0,Massachusetts,No,Travel_Rarely,Research & Development,2,Healthcare Representative,6586,Yes,17,2,High,High,Very High,Low
940,,Other,Male,Single,29,0,1,10,1.0,España,No,,Human Resources,3,Human Resources,7988,No,13,3,Medium,Medium,Low,Low
941,Master,Medical,Female,Single,34,0,1,6,1.0,Bélgica,No,Travel_Rarely,Research & Development,1,Research Scientist,4381,No,11,3,High,Medium,Low,High
942,,Medical,Female,Divorced,26,1,0,5,1.0,New Hampshire,No,Travel_Frequently,Research & Development,1,Research Scientist,2007,No,13,5,Low,Medium,High,High
943,Doctor,Medical,Male,Married,42,0,2,10,7.0,Wisconsin,No,Non-Travel,Human Resources,2,Human Resources,6272,No,16,3,Very High,Very High,Low,Low
