,Education,EducationField,Gender,MaritalStatus,Age,EmployeeId,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Country,Attrition,BusinessTravel,Department,JobLevel,JobRole,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction
687,Bachelor,Medical,Female,Divorced,42,7a82aca8-6c27-466f-8dfe-026065fe98f7,9,2,8,10,0.0,Rumania,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2593,Yes,11,4,Very High,Medium,Low,High
688,Below College,Life Sciences,Male,Divorced,39,24d7609d-8058-4567-a46b-3dddf2f23a67,6,0,4,21,1.0,Virginia Occidental,No,Travel_Frequently,Research & Development,5,Manager,19197,Yes,14,3,Medium,High,High,High
689,Bachelor,Life Sciences,Male,Single,38,1699e446-c703-4cdb-8d5c-14186406ec71,10,0,0,20,4.0,Alemania,No,Travel_Rarely,Sales,1,Sales Representative,2858,No,14,3,Low,Medium,Low,Low
690,,Life Sciences,Female,Married,44,c555a5f2-330b-4db1-a53e-fd927b99631e,6,2,4,9,1.0,Rumania,No,Travel_Rarely,Research & Development,3,Healthcare Representative,7879,Yes,19,2,High,Very High,,Medium
691,Master,Marketing,Male,Single,55,97ddea31-c1c3-4cae-911e-724d28f8d618,12,1,4,24,6.0,Maine,Yes,Travel_Rarely,Sales,4,Sales Executive,13695,Yes,17,2,Low,Very High,High,
692,Bachelor,Life Sciences,Male,Single,33,c8353966-f6f0-4c55-bd96-10d3f0dce02b,4,9,0,10,1.0,Bélgica,Yes,Travel_Frequently,Research & Development,1,Research Scientist,3348,Yes,11,3,Low,High,Low,Low
693,Below College,Marketing,Male,Married,32,59ec7e64-3a93-45af-bc22-0f2a31654470,7,1,1,4,0.0,República Checa,No,Travel_Rarely,Sales,2,Sales Executive,4078,Yes,13,3,High,High,Medium,Low
694,College,Life Sciences,Male,Married,45,351a1c5c-6714-4577-90e2-6dcfeaf542fb,5,0,0,8,3.0,Nueva Jersey,No,Travel_Rarely,Research & Development,1,Research Scientist,2654,No,21,3,Low,High,Very High,Very High
695,Bachelor,Medical,Female,Single,51,7c64ea27-741c-4e5d-8ac9-ef68dfc7aaad,0,0,0,21,3.0,Finlandia,No,Travel_Rarely,Research & Development,4,Healthcare Representative,13734,No,18,6,Very High,High,Medium,High
696,Master,Medical,Male,Married,37,6103be7e-5a4b-4d39-87c4-b0867fdddecd,4,0,1,7,4.0,Noruega,No,Travel_Rarely,Sales,2,Sales Executive,6502,No,14,5,High,High,Very High,Medium
697,Bachelor,Marketing,Male,Single,20,cf607a10-f08b-4e44-86be-9be0d0026c5b,9,1,1,2,1.0,Polonia,No,Travel_Rarely,Sales,1,Sales Representative,2678,No,17,2,High,Very High,Very High,Very High
698,,Life Sciences,Female,Single,27,875cb0f5-daff-4f4e-babe-64b83191896b,8,3,1,8,1.0,Grecia,Yes,Travel_Rarely,Research & Development,1,Research Scientist,2394,Yes,13,2,Very High,High,High,Very High
699,College,Medical,Female,Divorced,43,ba05e133-8e64-46a7-a78c-ab56317ce8bc,9,1,2,6,,Misuri,No,,Research & Development,1,Research Scientist,2645,No,12,3,Very High,Very High,,Very High
700,Below College,Life Sciences,Female,Married,29,a6bf02f2-b653-40e2-9356-b222902c8c6f,2,0,0,4,0.0,Minnesota,No,Travel_Frequently,Research & Development,1,Laboratory Technician,3180,No,13,3,Very High,High,Medium,High
701,Master,Medical,Female,Divorced,45,e1f741ec-aa28-45a0-a2db-cc83329f366d,12,0,0,8,3.0,Finlandia,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2270,No,14,2,Very High,High,,Very High
702,Master,Medical,Female,Single,29,46a8fc82-52be-4ea9-b758-5e006749e634,7,0,2,5,1.0,República Checa,No,Travel_Rarely,Research & Development,1,Research Scientist,3785,No,14,3,Very High,Medium,Low,Medium
703,Bachelor,Medical,Male,Divorced,58,752dbae7-3540-4a75-90cf-080b021815fe,10,3,2,37,4.0,Illinois,No,Non-Travel,Sales,4,Manager,16291,No,22,0,Medium,High,Medium,Very High
704,,Medical,Male,Single,30,768614db-7fc1-40bb-bd8c-cd3dfad05c8a,10,0,0,10,1.0,Kansas,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2206,No,13,5,Very High,Medium,High,Low
705,Bachelor,Life Sciences,Male,Married,37,cae5d482-afea-45c2-a271-37e219f1402b,5,0,2,9,3.0,Colorado,No,Travel_Rarely,Research & Development,2,Manufacturing Director,5768,No,17,2,High,High,High,Low
706,Master,Life Sciences,Female,Single,44,a7aa265e-3326-4427-ae12-c979224e0ef7,11,0,1,10,4.0,Austria,No,Travel_Rarely,Human Resources,2,Human Resources,5985,No,11,1,Low,Medium,High,Medium
707,Below College,Medical,Female,Divorced,31,470befac-1a82-4cf9-b70a-18dbbc25f821,7,0,0,1,1.0,Illinois,No,Travel_Rarely,Research & Development,1,Laboratory Technician,1129,Yes,11,4,Very High,Low,Very High,High
708,Bachelor,Life Sciences,Male,Married,29,68794fe7-8921-4357-8d03-729ef843625d,3,0,0,4,1.0,Polonia,No,Non-Travel,Sales,2,Sales Executive,4649,No,14,3,Very High,High,High,Low
709,Below College,Medical,Male,Single,55,9e26053e-88e0-413c-ae91-bc6fad9af710,8,6,2,12,4.0,Bélgica,Yes,Travel_Rarely,Sales,2,Sales Executive,5160,No,16,3,High,High,Very High,High
710,Bachelor,Life Sciences,Male,Single,38,760f2eaa-7028-4c44-9d72-3ae333da2ae2,11,0,0,6,5.0,Misisipi,No,Travel_Rarely,Research & Development,1,Research Scientist,3944,Yes,11,3,Very High,High,Very High,High
711,Below College,Marketing,Female,Divorced,41,7149c120-3ead-4b4c-9e58-b8f89e77a5d2,8,4,0,23,0.0,Noruega,No,Travel_Rarely,Sales,3,Sales Executive,10447,Yes,13,3,High,High,High,Very High
712,Bachelor,Life Sciences,Male,Married,36,7caa4179-3e59-437e-8d27-afe77274c01f,11,0,1,6,0.0,Arizona,No,Travel_Rarely,Human Resources,1,Human Resources,2342,No,21,3,Low,Medium,Low,High
713,,Technical Degree,Male,Single,58,251ccb27-0521-46f3-9aba-dca253636093,4,0,0,7,4.0,Hungría,Yes,,Research & Development,1,Research Scientist,2479,No,24,4,Very High,High,High,Low
714,Master,Medical,Male,Single,45,3c973c38-b1b6-458b-8058-e76361402466,8,0,1,6,1.0,Finlandia,No,Travel_Rarely,Human Resources,1,Human Resources,2177,No,16,3,Medium,High,Medium,Low
715,Master,Life Sciences,Female,Single,35,4b139aa8-0f10-471d-ab0b-ad5d5c46e69a,6,0,2,7,3.0,Misuri,No,Travel_Rarely,Research & Development,1,Research Scientist,2506,No,13,0,Very High,Very High,High,High
716,,Medical,Male,Married,24,e9c361d3-e5b7-43c3-be53-031ab5106487,10,2,1,3,0.0,Misuri,No,Travel_Frequently,Human Resources,1,Human Resources,2145,No,14,2,Low,High,Very High,Very High
717,Master,Life Sciences,Male,Divorced,34,052d8804-673a-45e7-b026-bf27884e977f,8,7,2,9,1.0,República Checa,No,Travel_Frequently,Research & Development,2,Manufacturing Director,4724,No,13,3,High,Very High,Very High,Low
718,Below College,Life Sciences,Female,Married,34,053fbf47-ecca-4072-b569-040061ca5a80,4,1,2,6,1.0,Rumania,No,Travel_Rarely,Sales,2,Sales Executive,5714,No,20,3,Medium,High,High,Low
719,Bachelor,Medical,Female,Single,20,d1073da0-27e6-4021-8671-5839235e10df,3,0,0,2,1.0,Francia,No,Travel_Rarely,Sales,1,Sales Representative,2783,No,19,3,High,High,High,Low
720,Bachelor,Other,Male,Married,26,1af15d5a-2bfa-4c00-a941-cc9ecfa063d0,11,0,4,8,0.0,Maine,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2544,No,18,3,High,Very High,Very High,Low
721,Doctor,Life Sciences,Female,Divorced,50,ee9b17b6-b7ca-4edb-88ad-eea92d93706d,12,0,11,19,5.0,Croacia,No,Travel_Rarely,Research & Development,3,Research Director,13269,No,15,3,Very High,Medium,Low,High
722,Master,Medical,Male,Single,37,7eef13b7-e15b-464c-8f85-2b3ce1596b76,7,0,0,10,1.0,Colorado,Yes,Travel_Rarely,Research & Development,2,Manufacturing Director,4213,No,15,4,Very High,High,,Medium
723,Bachelor,Marketing,Male,Married,44,b09a3149-d7a3-4229-91f1-7ee4bcd7a8e4,2,1,10,26,7.0,Misisipi,No,Travel_Rarely,Sales,5,Manager,18213,No,11,5,Medium,High,Medium,High
724,Master,Medical,Female,Married,49,87f51f1c-3cd4-4e03-83dd-57efa1d8ff6b,2,3,9,16,1.0,Virginia Occidental,No,,Research & Development,2,Manufacturing Director,6567,No,14,2,High,High,Low,High
725,College,Marketing,Male,Single,38,b05aa54a-5070-4738-86e0-b525f9a24cb3,12,0,0,10,7.0,España,No,,Sales,3,Sales Executive,7351,No,16,2,Very High,High,Medium,High
726,,Life Sciences,Male,Divorced,32,aae4be9a-a42f-4a5b-8943-7671c8bcbcc8,4,0,0,8,2.0,Polonia,No,Travel_Rarely,Sales,2,Sales Executive,4403,No,11,3,Medium,High,Very High,High
727,Master,Medical,Female,Married,46,1751aea3-5a78-48c9-8b55-44dc458d9ac7,1,0,0,7,2.0,Grecia,No,Non-Travel,Research & Development,2,Manufacturing Director,5258,No,14,2,High,High,High,High
728,College,Life Sciences,Female,Single,42,693498eb-0e42-47f7-a0ef-43d50621ce49,6,0,0,10,3.0,Dinamarca,No,,Research & Development,2,Research Scientist,6545,Yes,13,1,Very High,Very High,Low,High
729,,Medical,Male,Divorced,30,a4c74a27-59a4-49fe-838b-aefc6ab6ff8b,1,1,0,12,1.0,República Checa,No,Non-Travel,Research & Development,2,Laboratory Technician,3072,No,11,4,High,High,Low,High
730,Bachelor,Medical,Male,Married,36,3db49251-039d-495d-b978-6b1d463eec6f,11,1,2,17,6.0,Nevada,No,Travel_Rarely,Research & Development,2,Healthcare Representative,5237,No,13,3,High,High,High,Medium
731,,Medical,Male,Married,38,847d43e6-23f8-4161-a9f0-8aee348a072f,4,0,0,17,7.0,Texas,Yes,Travel_Rarely,Research & Development,2,Healthcare Representative,6673,Yes,19,2,Medium,High,Low,Medium
732,Bachelor,Life Sciences,Male,Single,33,e049ee1a-6871-4ba1-93ac-e7a899b90d12,11,0,2,5,1.0,Indiana,No,Travel_Rarely,Research & Development,2,Manufacturing Director,4320,No,13,2,Very High,Medium,Medium,Very High
733,Bachelor,Marketing,Male,Married,40,07444d2a-5694-4cb8-8936-a9c4c3e50871,3,2,4,8,1.0,República Checa,No,Travel_Rarely,Sales,2,Sales Executive,8396,No,14,3,High,High,Low,Medium
734,Master,Medical,Female,Divorced,37,11dbf0c2-95ac-4d11-9623-fb20312129a8,10,0,0,15,2.0,Pensilvania,No,Non-Travel,Research & Development,3,Research Director,13603,Yes,18,2,Low,High,Very High,Low
735,Doctor,Technical Degree,Female,Married,53,0e771fe1-012e-400c-9bac-df093c97270d,1,0,8,34,0.0,Alemania,Yes,Travel_Rarely,Research & Development,3,Manufacturing Director,10169,No,16,4,High,Medium,Very High,Medium
736,Master,Life Sciences,Male,Single,34,fd580b85-3230-4531-96e1-291467b4a1cd,5,0,4,10,1.0,Finlandia,No,Travel_Rarely,Sales,2,Sales Executive,5337,No,12,3,Very High,Very High,Very High,Very High
737,Master,Life Sciences,Male,Married,39,4e3c4e90-7d42-4a29-bc0a-91c82356750f,7,1,1,8,3.0,Países Bajos,No,Travel_Rarely,Sales,2,Sales Executive,6120,Yes,12,2,Low,Medium,Very High,Very High
738,Bachelor,Life Sciences,Female,Single,37,27eaa91f-f90d-4f02-a321-4caf7e8662a3,12,1,6,17,1.0,Dinamarca,No,Travel_Rarely,Research & Development,1,Research Scientist,2115,No,12,3,Very High,High,,Medium
739,Master,Life Sciences,Male,Married,31,4dfca237-c462-41b2-9f64-d075b6f6bf07,13,0,1,8,3.0,Ohio,No,Travel_Rarely,Research & Development,1,Research Scientist,2356,Yes,19,2,Very High,High,Very High,Medium
740,Bachelor,Life Sciences,Male,Divorced,44,a985d827-7f18-4abe-a337-6325012a62ec,9,0,0,19,3.0,Hungría,Yes,,Research & Development,1,Laboratory Technician,3161,Yes,22,0,Very High,High,High,Very High
741,College,Medical,Female,Married,55,7a3d629f-8bca-4134-a5fb-220fae302de9,2,6,9,23,4.0,Colorado,No,Travel_Rarely,Research & Development,5,Manager,19187,No,14,5,Very High,Low,High,Very High
742,College,Life Sciences,Male,Divorced,28,fee81840-0659-4867-94b9-1c057638f87d,3,2,2,4,1.0,Minnesota,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2207,No,16,5,Low,High,High,Very High
743,Bachelor,Medical,Male,Divorced,27,aca7ef56-b3b6-4b81-b4af-10dc92dd90b3,0,0,2,6,6.0,Croacia,No,Non-Travel,Research & Development,1,Research Scientist,2024,No,18,1,Very High,High,Medium,Very High
744,Bachelor,Life Sciences,Male,Married,43,8e8ed48f-323d-427c-bc82-5e6c56ac0016,8,2,2,7,3.0,Países Bajos,No,Travel_Frequently,Sales,2,Sales Executive,6804,No,18,5,Very High,Medium,Very High,High
745,Master,Medical,Male,Single,27,e8aab459-bf96-4197-8ffc-fd6a50879bd8,2,0,0,5,0.0,Pensilvania,No,Travel_Rarely,Research & Development,1,Research Scientist,2045,No,13,0,Low,Medium,Very High,Very High
746,Master,Technical Degree,Male,Married,47,7b9a5270-b6d7-40d6-abcb-637e8d5ea342,3,1,7,16,8.0,Misuri,No,,Research & Development,2,Research Scientist,5467,No,18,4,High,High,Medium,High
747,Bachelor,Life Sciences,Female,Divorced,44,7be2599e-f83f-44a4-946f-e40d250da067,12,0,1,8,4.0,Dakota del Norte,No,Travel_Rarely,Human Resources,1,Human Resources,3195,Yes,18,2,High,High,,Low
748,College,Technical Degree,Female,Single,49,c5723f9c-53b8-4411-beb4-9c4e4aec39bb,8,0,5,25,7.0,Luisiana,No,Travel_Rarely,Research & Development,4,Healthcare Representative,13964,Yes,12,2,High,Medium,High,Very High
749,Master,Medical,Female,Single,33,6fd8d955-4d0b-431d-a357-ff7a4adf5889,8,2,7,14,1.0,Carolina del Sur,Yes,Travel_Frequently,Research & Development,2,Research Scientist,4508,No,22,4,Low,Medium,,Medium
750,Master,Life Sciences,Female,Married,40,a671913e-29c6-49a7-a69e-ea07732201ea,11,1,3,10,3.0,Hungría,No,,Research & Development,1,Laboratory Technician,2213,Yes,13,3,Very High,Very High,High,High
751,Bachelor,Life Sciences,Female,Single,21,2863e810-d464-4235-8643-e6ccbecb6523,5,0,0,1,1.0,Reino Unido,Yes,,Sales,1,Sales Representative,2716,No,15,0,High,Very High,,Very High
752,College,Medical,Male,Married,40,a8d4900c-017e-4034-93ad-205d4e298b09,1,0,0,6,2.0,Dinamarca,No,Travel_Rarely,Sales,2,Sales Executive,7457,Yes,22,2,Medium,Low,Very High,High
753,Bachelor,Life Sciences,Male,Single,36,9fe10b5a-0502-4f36-99bf-ef5595e35ec5,6,0,3,6,1.0,Carolina del Norte,No,Travel_Frequently,Research & Development,2,Manufacturing Director,6499,No,13,3,Medium,Medium,Medium,High
754,Bachelor,Medical,Male,Single,26,71ea13e8-dcb9-4931-805b-28f86eef38c6,4,0,5,7,1.0,Francia,No,Travel_Frequently,Sales,2,Sales Executive,4294,No,12,2,High,Medium,Low,Medium
755,College,Medical,Male,Divorced,33,83588c10-f8a6-461e-81b8-97e68491970b,9,0,0,1,1.0,Colorado,No,Non-Travel,Research & Development,1,Laboratory Technician,2008,No,12,2,Medium,Medium,High,High
756,Bachelor,Human Resources,Male,Married,41,aa396f53-53ec-4fc4-9ed0-ed0e8fef547d,1,1,1,10,6.0,Portugal,No,Non-Travel,Human Resources,2,Human Resources,6430,No,19,4,High,Low,Medium,Medium
757,,Life Sciences,Female,Single,59,91d60bc6-bcc9-4734-9028-1018847c6c15,2,0,1,13,5.0,Florida,No,Travel_Rarely,Sales,2,Sales Executive,5171,No,17,2,High,Medium,Very High,Very High
758,Below College,Medical,Male,Married,39,8d55f119-5198-4d9f-a1c0-911b959bf9ed,12,1,4,9,4.0,Reino Unido,No,Travel_Rarely,Research & Development,3,Healthcare Representative,9991,No,15,5,Very High,Medium,Low,Low
759,Below College,Medical,Male,Single,25,4d0875ad-2d05-4a8b-a4b8-4b82e0a1919d,0,0,1,6,7.0,Nuevo México,No,Travel_Rarely,Research & Development,1,Research Scientist,3424,No,13,3,Low,Very High,Low,High
760,,Life Sciences,Male,Single,42,bda5426b-baad-4f17-80ab-bd42316be1ec,12,11,11,22,0.0,Reino Unido,Yes,Travel_Frequently,Sales,4,Sales Executive,13758,Yes,12,2,High,High,Low,Medium
761,Below College,Technical Degree,Male,Divorced,23,aeafd592-499e-4c56-90f3-8fa57fae57eb,1,0,0,3,3.0,Reino Unido,No,Travel_Rarely,Sales,1,Sales Representative,2322,No,13,3,High,High,Low,High
762,Below College,Life Sciences,Female,Married,29,8175375e-41ca-42ef-9a86-9bd0362c5eda,2,3,8,11,1.0,Washington,Yes,,Sales,3,Sales Executive,7336,No,13,3,Very High,Medium,,Low
763,Below College,Technical Degree,Male,Married,29,1c3855cb-23a7-4271-8820-edfe579bb12f,9,0,7,10,1.0,Reino Unido,No,Non-Travel,Research & Development,2,Manufacturing Director,4319,No,13,1,Very High,High,High,Low
764,Bachelor,Technical Degree,Female,Single,38,baef3864-5101-47cb-a46f-86fc1a2b9ce9,3,1,0,6,1.0,Florida,No,Non-Travel,Sales,2,Sales Executive,5666,Yes,13,1,High,High,Very High,Medium
765,Bachelor,Life Sciences,Male,Divorced,30,44b96a59-b434-4836-a43a-651dcbdf002b,5,0,7,10,1.0,Washington,No,Travel_Frequently,Research & Development,1,Research Scientist,2613,No,25,2,Low,Low,High,High
766,College,Medical,Female,Married,38,a8b2b041-9c5b-4649-b3de-31e4b6838e4a,7,0,2,9,4.0,Wyoming,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2468,No,14,4,High,Medium,Medium,Medium
767,Master,Life Sciences,Male,Married,35,09a9db2d-984e-42fa-9e48-c4c1b37228d0,4,0,0,17,2.0,Tennessee,No,,Research & Development,2,Manufacturing Director,6883,No,16,3,Very High,High,,Medium
768,Master,Other,Male,Married,45,e0331489-d0b9-4686-861a-9a70bea80258,0,0,0,17,4.0,Portugal,No,Travel_Rarely,Research & Development,3,Research Director,13245,Yes,14,3,Very High,High,Low,Medium
769,Doctor,Marketing,Male,Married,32,4db5646e-df06-4236-b804-26960f823caa,11,0,1,7,4.0,Dakota del Sur,No,Travel_Rarely,Sales,2,Sales Executive,9204,No,12,3,Very High,High,Very High,High
770,Bachelor,Medical,Female,Divorced,44,53999f56-d71f-429d-98e6-8860ca55876a,2,1,4,23,0.0,Grecia,No,Travel_Rarely,Research & Development,5,Research Director,19049,Yes,14,4,Medium,High,Very High,Very High
771,College,Marketing,Male,Married,37,beb3b8fa-0265-4861-a93d-5200fc8d7934,1,0,3,5,1.0,Alaska,No,Travel_Rarely,Sales,2,Sales Executive,4189,No,14,2,Medium,Medium,Medium,Low
772,Bachelor,Medical,Male,Single,41,765d5441-4030-4cf5-8a43-d8922df1e04c,0,1,15,20,2.0,Rumania,No,Travel_Rarely,Research & Development,1,Laboratory Technician,4721,Yes,13,3,Very High,High,,High
773,Bachelor,Life Sciences,Male,Single,44,bf88a54b-cd1a-4cf4-9ee8-5cb7b9fa6315,12,0,0,6,2.0,Misisipi,No,Non-Travel,Research & Development,1,Research Scientist,2290,No,13,3,Very High,Low,High,Very High
774,Below College,Life Sciences,Female,Married,22,4e708229-35e0-4d01-a5bf-9899964bd72e,9,0,1,4,0.0,Noruega,Yes,Travel_Rarely,Research & Development,2,Manufacturing Director,4171,Yes,19,3,Medium,High,,Low
775,Bachelor,Medical,Female,Married,47,6cde890d-da18-4867-8b43-ad64921dcd8b,1,0,2,11,3.0,Tennessee,No,Travel_Rarely,Sales,2,Sales Executive,4591,Yes,17,4,High,High,High,High
776,Bachelor,Medical,Male,Married,24,dea7e10d-d085-43e3-895c-aa4a767c87b7,12,1,1,3,0.0,Suiza,No,Travel_Frequently,Sales,1,Sales Representative,2400,No,13,3,Very High,High,,High
777,Bachelor,Life Sciences,Female,Single,21,dc61116f-7b66-47b8-8f17-f1fe62012fd1,5,0,0,1,1.0,Wisconsin,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,1416,No,13,6,High,Medium,Low,Low
778,,Medical,Female,Married,32,7a3c93e9-8276-46b3-88a7-590709df90cd,5,0,5,8,1.0,Países Bajos,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2370,No,13,4,High,High,Medium,High
779,Master,Life Sciences,Female,Single,38,1c48c37f-acda-417e-9a7a-99e8ceef9012,0,0,7,12,4.0,Virginia Occidental,No,Travel_Rarely,Sales,2,Sales Executive,8686,No,22,2,Low,Medium,,High
780,Bachelor,Medical,Male,Married,37,98afd87b-b076-49c8-971a-c726b03846dc,8,2,4,10,1.0,Tennessee,No,Travel_Rarely,Research & Development,2,Research Scientist,4285,No,17,2,Low,High,Very High,Low
781,Bachelor,Life Sciences,Male,Married,42,ecfdf585-4304-4605-833f-9d58e6d0bbcc,2,12,1,24,2.0,Bélgica,No,Travel_Frequently,Research & Development,3,Healthcare Representative,10124,Yes,14,3,Very High,High,Very High,High
782,Bachelor,Technical Degree,Male,Married,45,d8f1310f-f455-481b-a665-d94cc8f62506,12,1,2,10,4.0,Colorado,No,Travel_Rarely,Research & Development,3,Manufacturing Director,9380,Yes,18,4,Medium,High,Very High,Very High
783,Below College,Marketing,Male,Married,48,a79c5f73-2a7b-4528-9bf4-adabed468fae,10,0,1,12,3.0,Dinamarca,No,Travel_Rarely,Sales,2,Sales Executive,8120,No,12,3,Medium,Very High,Medium,Very High
784,Below College,Life Sciences,Female,Single,33,3a3e60ce-a5ab-46b6-9fb6-9b6f266bce38,11,2,0,3,0.0,Kentucky,No,Non-Travel,Sales,1,Sales Representative,2342,No,19,2,Medium,Medium,Very High,Very High
785,Doctor,Technical Degree,Female,Married,29,9f53ce18-67b4-47cd-8dc1-1037a26fb2e6,1,1,0,6,5.0,Virginia,Yes,Travel_Rarely,Research & Development,1,Research Scientist,2546,No,16,2,High,Medium,Medium,Medium
786,Below College,Medical,Male,Divorced,33,8dc4b8ec-4726-4c80-a587-70fd49c1845a,9,0,2,8,7.0,Suecia,Yes,Travel_Rarely,Research & Development,1,Laboratory Technician,3408,No,13,2,Low,Low,,Low
787,Below College,Medical,Male,Married,27,36ad45e9-816a-4d92-92cf-ed4e2feabb48,11,0,2,6,9.0,Kentucky,No,Travel_Rarely,Research & Development,1,Laboratory Technician,3468,No,12,3,Low,High,Medium,Very High
788,Below College,Medical,Male,Single,44,498fae1b-af2b-4951-8e54-6e01ca831f41,10,0,2,16,5.0,Suiza,No,Travel_Frequently,Research & Development,3,Manufacturing Director,10209,Yes,18,2,Medium,High,High,Medium
789,Below College,Life Sciences,Male,Single,30,15a61f74-e4c0-4ab2-ac12-9b3f8cdc5008,10,1,5,12,1.0,Reino Unido,No,Non-Travel,Research & Development,3,Manufacturing Director,8474,No,22,2,High,Medium,High,High
790,Master,Human Resources,Female,Married,59,76cf75a9-97c1-47a3-88f0-81ac3613bc36,0,1,1,30,9.0,Luisiana,No,Non-Travel,Human Resources,5,Manager,18844,No,21,3,High,Medium,Very High,Very High
791,Master,Life Sciences,Male,Single,52,54579cc1-a7ea-452d-b1f3-aabf89b310b2,10,1,0,18,7.0,Croacia,No,Travel_Rarely,Research & Development,3,Healthcare Representative,10445,No,19,4,Medium,High,Medium,Very High
792,,Marketing,Male,Married,33,366c1559-29fd-420e-849d-5e5ba4572759,9,0,2,8,0.0,Virginia,No,Non-Travel,Sales,2,Sales Executive,6146,No,13,2,High,High,,Low
793,College,Medical,Male,Single,36,529573f9-e9fc-4553-93d2-e64aa05b130a,8,3,2,13,4.0,Polonia,No,Travel_Frequently,Research & Development,1,Laboratory Technician,2088,No,12,3,Very High,High,Medium,High
794,Master,Medical,Female,Single,32,3a27554a-00fc-4a8b-a819-c82e8c0b74d8,2,0,2,10,7.0,Suiza,No,Travel_Rarely,Research & Development,2,Research Scientist,5055,No,16,0,Low,Very High,Very High,High
795,College,Life Sciences,Female,Married,38,15cb2925-6948-432d-8415-e98b82493c18,7,1,3,10,1.0,España,No,Travel_Rarely,Sales,2,Sales Executive,5343,No,11,1,Low,High,Very High,High
796,Below College,Medical,Male,Married,23,24d42f0a-7816-44f2-a73e-fc1bbc06c3a3,12,0,2,5,1.0,Minnesota,No,Travel_Rarely,Research & Development,1,Laboratory Technician,2500,No,14,2,Medium,High,Low,Very High
797,Bachelor,Medical,Male,Single,44,3b89cca4-668e-437c-a798-75b4d9752e6b,10,1,1,10,9.0,Oklahoma,No,,Research & Development,2,Healthcare Representative,5933,No,12,2,Very High,High,,Very High
798,College,Life Sciences,Male,Married,32,8bba2ec0-de06-4b50-a936-de6b26126d8f,3,1,2,10,1.0,Reino Unido,No,Travel_Frequently,Sales,2,Sales Executive,6524,No,14,3,Medium,High,Medium,Very High
799,College,Medical,Male,Divorced,44,3b8140ca-70d6-469c-94be-39e54d5705e1,3,1,1,6,1.0,Portugal,Yes,Travel_Frequently,Research & Development,1,Research Scientist,2342,Yes,12,2,High,High,Medium,High
800,Bachelor,Human Resources,Male,Married,30,ab854ab4-9449-4595-99b5-6ca622b77b4d,3,0,4,12,0.0,Misuri,No,Travel_Rarely,Human Resources,2,Human Resources,6347,Yes,19,2,High,High,Very High,Very High
801,Bachelor,Medical,Male,Single,55,c1aa5303-2bbe-45b1-9cac-fe0c685f5fb6,1,2,13,37,0.0,Italia,No,Travel_Rarely,Research & Development,5,Manager,19045,Yes,14,2,Very High,High,Low,High
802,Bachelor,Life Sciences,Male,Single,40,3f169a11-1cbd-489d-8748-b87b0056f976,12,0,2,10,3.0,California,Yes,,Research & Development,1,Laboratory Technician,2166,Yes,14,3,Low,High,Low,Medium
803,College,Technical Degree,Male,Married,34,ef4a8ac2-0da8-463f-9d12-9802b0eafce7,5,5,2,12,0.0,Dinamarca,No,Travel_Rarely,Sales,1,Sales Representative,2308,Yes,25,4,Medium,High,High,
804,Bachelor,Medical,Male,Married,29,3c3ec0af-ff5f-45b5-8206-42d2d268bfcf,1,0,0,10,2.0,Polonia,No,Travel_Rarely,Sales,2,Sales Executive,6644,No,19,2,Low,Medium,Medium,Medium
805,Below College,Life Sciences,Female,Married,35,006fb3dd-9e4e-469b-a13c-a3e42bb210e9,3,0,3,10,1.0,República Checa,No,Travel_Rarely,Research & Development,2,Healthcare Representative,4014,Yes,25,2,Very High,High,Very High,Very High
806,Bachelor,Medical,Female,Single,27,e70564fa-3a09-4aaf-9db7-3d3c37337a4a,4,0,0,7,1.0,Idaho,No,Travel_Rarely,Research & Development,1,Research Scientist,2279,No,16,2,Very High,High,Medium,Very High
807,Master,Medical,Male,Married,36,26bd4a2a-cc3d-4ff5-a0cb-ed2fc9aaa888,11,1,10,16,4.0,Hungría,No,Travel_Frequently,Sales,3,Sales Executive,9699,No,11,2,Low,Medium,Very High,Low
808,College,Medical,Female,Single,42,699977ca-c5ed-41a7-9b3d-01e6709b1a25,12,3,8,12,1.0,Dinamarca,No,Travel_Frequently,Research & Development,1,Laboratory Technician,3673,No,13,3,Low,High,Very High,High
809,Bachelor,Medical,Male,Married,34,f19c0a1a-4098-4d81-a425-640c94a230c0,7,1,0,6,2.0,Bélgica,No,Travel_Rarely,Research & Development,2,Laboratory Technician,4404,No,12,3,Medium,Very High,High,Low
810,College,Life Sciences,Female,Divorced,45,d7c8c8e7-30dd-40ca-9957-18907befbc1b,2,0,3,9,4.0,España,No,Travel_Rarely,Sales,2,Sales Executive,5006,Yes,11,3,High,High,Low,Low
